No Kel Layanan;MDC;Kelompok layanan;"Kode
ICD";Deskripsi ICD/Nama Penyakit;"Tujuan
Kompetensi"
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.79;Peroneal tendinitis, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.8;Other enthesopathies of lower limb, excluding foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.80;Other enthesopathies of lower limb, excluding foot, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.81;"Other enthesopathies of lower limb, excluding foot, shoulder
region";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.82;Other enthesopathies of lower limb, excluding foot, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.83;Other enthesopathies of lower limb, excluding foot, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.84;Other enthesopathies of lower limb, excluding foot, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.85;"Other enthesopathies of lower limb, excluding foot, pelvic region
and thigh";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.86;Other enthesopathies of lower limb, excluding foot, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.87;Other enthesopathies of lower limb, excluding foot, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.88;Other enthesopathies of lower limb, excluding foot, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.89;"Other enthesopathies of lower limb, excluding foot, site
unspecified";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.9;Enthesopathy of lower limb, unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.90;Enthesopathy of lower limb, unspecified, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.91;Enthesopathy of lower limb, unspecified, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.92;Enthesopathy of lower limb, unspecified, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.93;Enthesopathy of lower limb, unspecified, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.94;Enthesopathy of lower limb, unspecified, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.95;Enthesopathy of lower limb, unspecified, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.96;Enthesopathy of lower limb, unspecified, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.97;Enthesopathy of lower limb, unspecified, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.98;Enthesopathy of lower limb, unspecified, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M76.99;Enthesopathy of lower limb, unspecified, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.0;Medial epicondylitis;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.00;Medial epicondylitis, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.01;Medial epicondylitis, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.02;Medial epicondylitis, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.03;Medial epicondylitis, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.04;Medial epicondylitis, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.05;Medial epicondylitis, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.06;Medial epicondylitis, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.07;Medial epicondylitis, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.08;Medial epicondylitis, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.09;Medial epicondylitis, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.1;Lateral epicondylitis;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.10;Lateral epicondylitis, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.11;Lateral epicondylitis, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.12;Lateral epicondylitis, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.13;Lateral epicondylitis, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.14;Lateral epicondylitis, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.15;Lateral epicondylitis, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.16;Lateral epicondylitis, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.17;Lateral epicondylitis, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.18;Lateral epicondylitis, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.19;Lateral epicondylitis, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.2;Periarthritis of wrist;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.20;Periarthritis of wrist, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.21;Periarthritis of wrist, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.22;Periarthritis of wrist, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.23;Periarthritis of wrist, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.24;Periarthritis of wrist, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.25;Periarthritis of wrist, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.26;Periarthritis of wrist, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.27;Periarthritis of wrist, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.28;Periarthritis of wrist, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.29;Periarthritis of wrist, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.3;Calcaneal spur;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.30;Calcaneal spur, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.31;Calcaneal spur, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.32;Calcaneal spur, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.33;Calcaneal spur, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.34;Calcaneal spur, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.35;Calcaneal spur, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.36;Calcaneal spur, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.37;Calcaneal spur, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.38;Calcaneal spur, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.39;Calcaneal spur, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.4;Metatarsalgia;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.40;Metatarsalgia, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.41;Metatarsalgia, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.42;Metatarsalgia, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.43;Metatarsalgia, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.44;Metatarsalgia, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.45;Metatarsalgia, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.46;Metatarsalgia, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.47;Metatarsalgia, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.48;Metatarsalgia, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.49;Metatarsalgia, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.5;Other enthesopathy of foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.50;Other enthesopathy of foot, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.51;Other enthesopathy of foot, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.52;Other enthesopathy of foot, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.53;Other enthesopathy of foot, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.54;Other enthesopathy of foot, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.55;Other enthesopathy of foot, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.56;Other enthesopathy of foot, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.57;Other enthesopathy of foot, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.58;Other enthesopathy of foot, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.59;Other enthesopathy of foot, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.8;Other enthesopathies, not elsewhere classified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.80;Other enthesopathies, not elsewhere classified, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.81;Other enthesopathies, not elsewhere classified, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.82;Other enthesopathies, not elsewhere classified, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.83;Other enthesopathies, not elsewhere classified, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.84;Other enthesopathies, not elsewhere classified, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.85;"Other enthesopathies, not elsewhere classified, pelvic region and
thigh";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.86;Other enthesopathies, not elsewhere classified, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.87;Other enthesopathies, not elsewhere classified, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.88;Other enthesopathies, not elsewhere classified, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.89;Other enthesopathies, not elsewhere classified, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.9;Enthesopathy, unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.90;Enthesopathy, unspecified, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.91;Enthesopathy, unspecified, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.92;Enthesopathy, unspecified, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.93;Enthesopathy, unspecified, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.94;Enthesopathy, unspecified, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.95;Enthesopathy, unspecified, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.96;Enthesopathy, unspecified, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.97;Enthesopathy, unspecified, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.98;Enthesopathy, unspecified, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M77.99;Enthesopathy, unspecified, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.0;Rheumatism, unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.00;Rheumatism, unspecified, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.01;Rheumatism, unspecified, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.02;Rheumatism, unspecified, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.03;Rheumatism, unspecified, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.04;Rheumatism, unspecified, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.05;Rheumatism, unspecified, pelvic region and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.06;Rheumatism, unspecified, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.07;Rheumatism, unspecified, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.08;Rheumatism, unspecified, other;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.09;Rheumatism, unspecified, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.1;Myalgia;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.10;Myalgia, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.11;Myalgia, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.12;Myalgia, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.13;Myalgia, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.14;Myalgia, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.15;Myalgia, pelvic and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.16;Myalgia, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.17;Myalgia, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.18;Myalgia, other site;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M79.19;Myalgia, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.0;Postmenopausal osteoporosis with pathological fracture;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.00;"Postmenopausal osteoporosis with pathological fracture, multiple
sites";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.01;"Postmenopausal osteoporosis with pathological fracture,
shoulder region";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.02;"Postmenopausal osteoporosis with pathological fracture, upper
arm";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.03;Postmenopausal osteoporosis with pathological fracture, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.04;Postmenopausal osteoporosis with pathological fracture, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.05;"Postmenopausal osteoporosis with pathological fracture, pelvic
and thigh";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.06;"Postmenopausal osteoporosis with pathological fracture, lower
leg";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.07;"Postmenopausal osteoporosis with pathological fracture, ankle
and foot";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.08;"Postmenopausal osteoporosis with pathological fracture, other
site";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.09;"Postmenopausal osteoporosis with pathological fracture, site
unspecified";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.1;Postoophorectomy osteoporosis with pathological fracture;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.10;"Postoophorectomy osteoporosis with pathological fracture,
multiple sites";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.11;"Postoophorectomy osteoporosis with pathological fracture,
shoulder region";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.12;"Postoophorectomy osteoporosis with pathological fracture, upper
arm";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.13;"Postoophorectomy osteoporosis with pathological fracture,
forearm";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.14;Postoophorectomy osteoporosis with pathological fracture, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.15;"Postoophorectomy osteoporosis with pathological fracture, pelvic
and thigh";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.16;"Postoophorectomy osteoporosis with pathological fracture, lower
leg";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.17;"Postoophorectomy osteoporosis with pathological fracture, ankle
and foot";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.18;"Postoophorectomy osteoporosis with pathological fracture, other
site";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.19;"Postoophorectomy osteoporosis with pathological fracture, site
unspecified";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.2;Osteoporosis of disuse with pathological fracture;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.20;Osteoporosis of disuse with pathological fracture, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.21;Osteoporosis of disuse with pathological fracture, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.22;Osteoporosis of disuse with pathological fracture, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.23;Osteoporosis of disuse with pathological fracture, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.24;Osteoporosis of disuse with pathological fracture, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.25;Osteoporosis of disuse with pathological fracture, pelvic and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.26;Osteoporosis of disuse with pathological fracture, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.27;Osteoporosis of disuse with pathological fracture, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.28;Osteoporosis of disuse with pathological fracture, other site;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.29;Osteoporosis of disuse with pathological fracture, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.3;Postsurgical malabsorption osteoporosis with path fracture;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.30;"Postsurgical malabsorption osteoporosis with path fracture,
multiple sites";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.31;"Postsurgical malabsorption osteoporosis with path fracture,
shoulder region";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.32;"Postsurgical malabsorption osteoporosis with path fracture, upper
arm";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.33;"Postsurgical malabsorption osteoporosis with path fracture,
forearm";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.34;Postsurgical malabsorption osteoporosis with path fracture, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.35;"Postsurgical malabsorption osteoporosis with path fracture, pelvic
and thigh";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.36;"Postsurgical malabsorption osteoporosis with path fracture, lower
leg";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.37;"Postsurgical malabsorption osteoporosis with path fracture, ankle
and foot";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.38;"Postsurgical malabsorption osteoporosis with path fracture, other
site";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.39;"Postsurgical malabsorption osteoporosis with path fracture, site
unspecified";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.4;Drug-induced osteoporosis with pathological fracture;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.40;"Drug-induced osteoporosis with pathological fracture, multiple
sites";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.41;"Drug-induced osteoporosis with pathological fracture, shoulder
region";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.42;Drug-induced osteoporosis with pathological fracture, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.43;Drug-induced osteoporosis with pathological fracture, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.44;Drug-induced osteoporosis with pathological fracture, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.45;"Drug-induced osteoporosis with pathological fracture, pelvic and
thigh";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.46;Drug-induced osteoporosis with pathological fracture, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.47;"Drug-induced osteoporosis with pathological fracture, ankle and
foot";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.48;Drug-induced osteoporosis with pathological fracture, other site;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.49;"Drug-induced osteoporosis with pathological fracture, site
unspecified";Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.5;Idiopathic osteoporosis with pathological fracture;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.50;Idiopathic osteoporosis with pathological fracture, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.51;Idiopathic osteoporosis with pathological fracture, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.52;Idiopathic osteoporosis with pathological fracture, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M80.53;Idiopathic osteoporosis with pathological fracture, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.0;Postmenopausal osteoporosis;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.00;Postmenopausal osteoporosis, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.01;Postmenopausal osteoporosis, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.02;Postmenopausal osteoporosis, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.03;Postmenopausal osteoporosis, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.04;Postmenopausal osteoporosis, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.05;Postmenopausal osteoporosis, pelvic and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.06;Postmenopausal osteoporosis, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.07;Postmenopausal osteoporosis, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.08;Postmenopausal osteoporosis, other site;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.09;Postmenopausal osteoporosis, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.1;Postoophorectomy osteoporosis;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.10;Postoophorectomy osteoporosis, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.11;Postoophorectomy osteoporosis, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.12;Postoophorectomy osteoporosis, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.13;Postoophorectomy osteoporosis, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.14;Postoophorectomy osteoporosis, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.15;Postoophorectomy osteoporosis, pelvic and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.16;Postoophorectomy osteoporosis, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.17;Postoophorectomy osteoporosis, ankle and foot;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.18;Postoophorectomy osteoporosis, other site;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.19;Postoophorectomy osteoporosis, site unspecified;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.2;Osteoporosis of disuse;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.20;Osteoporosis of disuse, multiple sites;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.21;Osteoporosis of disuse, shoulder region;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.22;Osteoporosis of disuse, upper arm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.23;Osteoporosis of disuse, forearm;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.24;Osteoporosis of disuse, hand;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.25;Osteoporosis of disuse, pelvic and thigh;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.26;Osteoporosis of disuse, lower leg;Dasar
7;18;Kelompok Layanan Muskuloskeletal dan jaringan lunak;M81.27;Osteoporosis of disuse, ankle and foot;Dasar
